id,titulo_original,puesto,empresa,portal,fecha_publicacion,salario_min,salario_max,experiencia_anios,categoria_rol,descripcion,es_simulado,habilidades
18,(Senior) Full-Stack Software Engineer - Financial Infrastructure & Payments (m/f/d),(Senior) Full-Stack Software Engineer - Financial Infrastructure & Payments (m/f/d),1KOMMA5˚,Arbeitnow API,2026-06-15,,,3,Frontend,"1KOMMA5° At 1KOMMA5° , we pursue a clear vision: Living on wind and sunlight forever for free . To make this a reality, we are building the energy system of the future with Heartbeat AI. Want to be part of it?We bring together regional craftsmanship and scalable software: We don't think of solar, batteries, heat pumps, and e-mobility as isolated components, but control them as an intelligent, integrated overall system in our virtual power plant. Directly connected to the electricity market – in real time, fully automated. This way, energy is used when it is available from renewables and partic",0,"Excel,SQL"
19,IT-System Engineer (m/w/d),IT-System Engineer (m/w/d),think about IT GmbH,Arbeitnow API,2026-06-15,,,1,Frontend,"Die thinkGROUP ist eine erfolgreiche Systemhausgruppe, die ständig nach Innovation strebt und großen Wert auf die kontinuierliche Optimierung unserer internen Prozesse legt. Die Nutzung modernster Technologien ist kein Selbstzweck, sondern die Ausprägung unseres Innovationsgeistes und gelebter Kundenorientierung. Hervorragender IT-Service bedarf optimaler Systeme. Unser motiviertes Team gibt täglich sein Bestes, um unsere Kunden immer wieder neu zu begeistern. Wir suchen Dich zum nächstmöglichen Zeitpunkt als Teammitglied unseres Fachbereichs IT-Consulting am Standort Bochum. Werde Teil der th",0,"Excel,SQL"
20,Senior Software Engineer - Fullstack (m/f/d),Fullstack Developer,Ratepay GmbH,Arbeitnow API,2026-06-15,,,2,Frontend,"At Ratepay, we develop next-generation payment solutions that power the checkout experience for some of Germany’s largest online retailers and marketplaces. As a Senior Software Engineer (m/f/d), you’ll play a key role in building secure, scalable, and user-friendly Buy Now, Pay Later products in a dynamic and fast-growing e-commerce sector. You’ll join a collaborative, agile team dedicated to enabling seamless commercial and technical onboarding of merchants, marketplaces, and resellers. Our focus is on modern integrations, fast onboarding, and intuitive configuration—making it easy for merch",0,Agile
21,Senior Verification Engineer,Senior Verification Engineer,TechBiz Global GmbH,Arbeitnow API,2026-06-15,,,2,Frontend,"At TechBiz Global, we are providing recruitment service to our TOP clients from our portfolio. We are currently seeking an Senior Verification Engineer specialist to join one of our clients ' teams that d evelops RISC-V CPU cores . If you're looking for an exciting opportunity to grow in a innovative environment, this could be the perfect fit for you. A s a Senior Verification Engineer, you will work within the Verification Team and play a crucial role in ensuring the correctness and functionality of complex digital designs at the Register Transfer Level according to the specification, using a",0,"Excel,SQL"
22,(Senior) Backend Developer – Product Creation & Assignment (m/w/d),Data Analyst / Scientist,idealo internet GmbH,Arbeitnow API,2026-06-15,,,2,Frontend,"As a (Senior) Backend Developer in our Product Creation & Assignment Team, you will help us build the systems behind the automated expansion of the idealo product catalogue. At idealo, products are the comparable entities users see on our platform: product pages where offers from different shops are grouped, enriched and made comparable. Our team builds systems that identify and create new products from various data sources and assign incoming shop offers to the right existing or newly created products. We work on a modern, cloud-native stack combining JVM-based backend services with data-inte",0,"Excel,SQL"
23,"DevOps Engineer (remote, full-time)",DevOps Engineer,Lumiform,Arbeitnow API,2026-06-15,,,2,Frontend,"At Lumiform, we help companies digitise and automate their frontline operations, from inspections to trainings and workflows, so they can meet the highest safety, quality, and efficiency standards every day. Over 1,000 paying customers and 45,000 active users rely on Lumiform to operate safety and efficiently across manufacturing, retail, logistics, hospitality, healthcare, and other compliance-heavy industries. Backed by leading investors like Capnamic and 42CAP, and with over €10 million raised, we are scaling fast and building the category-defining platform for AI-powered frontline safety a",0,"Excel,SQL"
24,.NET Consultant,.NET Consultant,Multibank,LinkedIn,2026-02-03,1400.0,3400.0,1,Backend,"Buscamos un .NET Consultant para nuestro equipo de tecnología en Multibank, Panamá.",1,"PostgreSQL,Python,Node.js"
25,Data Analyst,Data Analyst,Telered,LinkedIn,2026-03-23,1800.0,3200.0,1,Data & Analytics,"Buscamos un Data Analyst para nuestro equipo de tecnología en Telered, Panamá.",1,"SQL,PostgreSQL,Python,Tableau"
26,React Developer,React Developer,Encuentra24 PA,LinkedIn,2026-02-12,1600.0,2000.0,2,Frontend,"En Encuentra24 PA requerimos React Developer con experiencia en HTML, Vue, TypeScript para liderar nuestra transformación digital.",1,"HTML,Vue,TypeScript,Angular"
27,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Sonda Panamá,Konzerta,2026-04-27,1800.0,2700.0,3,Fullstack,"Buscamos un Desarrollador Web Fullstack para nuestro equipo de tecnología en Sonda Panamá, Panamá.",1,"SQL,Python,Node.js,Git,AWS"
28,Administrador Cloud,Administrador Cloud,EY Panamá,Konzerta,2026-01-24,2300.0,3800.0,3,DevOps & Cloud,Gran oportunidad en Ciudad de Panamá. EY Panamá busca Administrador Cloud con al menos 3 años de experiencia.,1,"Python,Git,AWS,Kubernetes,Docker"
29,Mobile Developer,Mobile Developer,Banco General,Konzerta,2026-02-17,1600.0,2700.0,1,Mobile,Gran oportunidad en Ciudad de Panamá. Banco General busca Mobile Developer con al menos 1 años de experiencia.,1,"Flutter,JavaScript,Swift,Kotlin"
30,Scrum Master,Scrum Master,Cable & Wireless,LinkedIn,2026-05-17,2800.0,3200.0,8,Gestión & Agile,"En Cable & Wireless requerimos Scrum Master con experiencia en Agile, Excel, Scrum para liderar nuestra transformación digital.",1,"Excel,Agile,Scrum,Jira"
31,Backend Developer,Backend Developer,Autoridad del Canal de Panamá (ACP),Computrabajo,2026-03-15,1700.0,2300.0,2,Backend,"Buscamos un Backend Developer para nuestro equipo de tecnología en Autoridad del Canal de Panamá (ACP), Panamá.",1,"SQL,Node.js,Git,Spring Boot,Java"
32,IT Project Manager,IT Project Manager,KPMG Panamá,Computrabajo,2026-03-24,1800.0,3100.0,3,Gestión & Agile,"Buscamos un IT Project Manager para nuestro equipo de tecnología en KPMG Panamá, Panamá.",1,"Agile,Scrum,Jira"
33,Analista de Datos,Analista de Datos,Encuentra24 PA,Computrabajo,2026-05-20,2400.0,3500.0,1,Data & Analytics,"Buscamos un Analista de Datos para nuestro equipo de tecnología en Encuentra24 PA, Panamá.",1,"SQL,PostgreSQL,Python,Tableau,Spark"
34,Product Owner,Product Owner,Banco General,LinkedIn,2026-01-23,2600.0,3900.0,4,Gestión & Agile,Gran oportunidad en Ciudad de Panamá. Banco General busca Product Owner con al menos 4 años de experiencia.,1,"Excel,Agile"
35,Fullstack Engineer,Fullstack Engineer,Caja de Seguro Social,LinkedIn,2026-03-30,2100.0,3900.0,3,Fullstack,"Buscamos un Fullstack Engineer para nuestro equipo de tecnología en Caja de Seguro Social, Panamá.",1,"SQL,Node.js,AWS,Docker,React"
36,IT Project Manager,IT Project Manager,GBM Panamá,LinkedIn,2026-01-05,1800.0,4000.0,1,Gestión & Agile,Gran oportunidad en Ciudad de Panamá. GBM Panamá busca IT Project Manager con al menos 1 años de experiencia.,1,"Scrum,Jira"
37,Fullstack Engineer,Fullstack Engineer,EY Panamá,Computrabajo,2026-03-18,2000.0,2800.0,1,Fullstack,"Buscamos un Fullstack Engineer para nuestro equipo de tecnología en EY Panamá, Panamá.",1,"Git,AWS"
38,DevOps Engineer,DevOps Engineer,PwC Panamá,LinkedIn,2026-06-12,2000.0,3500.0,1,DevOps & Cloud,"En PwC Panamá requerimos DevOps Engineer con experiencia en Kubernetes, Azure, Docker para liderar nuestra transformación digital.",1,"AWS,Kubernetes,Docker,Azure"
39,Product Owner,Product Owner,Tigo Panamá,LinkedIn,2026-03-28,2500.0,4100.0,3,Gestión & Agile,"En Tigo Panamá requerimos Product Owner con experiencia en Excel, Scrum para liderar nuestra transformación digital.",1,"Excel,Scrum"
40,Ingeniero de Soporte,Ingeniero de Soporte,Banistmo,LinkedIn,2026-03-09,1000.0,1500.0,2,Soporte & IT,Gran oportunidad en Ciudad de Panamá. Banistmo busca Ingeniero de Soporte con al menos 2 años de experiencia.,1,"Excel,Jira,Linux,Windows Server,Cisco"
41,iOS App Developer,iOS App Developer,Copa Airlines,LinkedIn,2026-02-05,1800.0,2800.0,3,Mobile,"Buscamos un iOS App Developer para nuestro equipo de tecnología en Copa Airlines, Panamá.",1,"Git,Swift"
42,React Developer,React Developer,Encuentra24 PA,LinkedIn,2026-05-21,1300.0,2500.0,1,Frontend,Gran oportunidad en Ciudad de Panamá. Encuentra24 PA busca React Developer con al menos 1 años de experiencia.,1,"HTML,TypeScript,Angular,CSS"
43,Python Developer,Python Developer,PwC Panamá,Konzerta,2026-03-15,1700.0,2300.0,2,Backend,"Buscamos un Python Developer para nuestro equipo de tecnología en PwC Panamá, Panamá.",1,"PostgreSQL,.NET"
44,Analista de Datos,Analista de Datos,Global Bank,LinkedIn,2026-01-03,2200.0,3400.0,1,Data & Analytics,Gran oportunidad en Ciudad de Panamá. Global Bank busca Analista de Datos con al menos 1 años de experiencia.,1,"SQL,PostgreSQL,Spark,R"
45,Data Scientist,Data Scientist,Dell Technologies Panamá,Computrabajo,2026-06-01,1700.0,2500.0,2,Data & Analytics,"Buscamos un Data Scientist para nuestro equipo de tecnología en Dell Technologies Panamá, Panamá.",1,"Python,R"
46,Android Developer,Android Developer,Global Bank,LinkedIn,2026-05-05,1400.0,2000.0,1,Mobile,"Buscamos un Android Developer para nuestro equipo de tecnología en Global Bank, Panamá.",1,"Kotlin,React Native"
47,Soporte Técnico IT,Soporte Técnico IT,Copa Airlines,Computrabajo,2026-01-01,1000.0,1700.0,1,Soporte & IT,Gran oportunidad en Ciudad de Panamá. Copa Airlines busca Soporte Técnico IT con al menos 1 años de experiencia.,1,"Excel,Linux"
48,Mobile Developer,Mobile Developer,Autoridad del Canal de Panamá (ACP),Computrabajo,2026-03-29,1700.0,2800.0,1,Mobile,"Buscamos un Mobile Developer para nuestro equipo de tecnología en Autoridad del Canal de Panamá (ACP), Panamá.",1,"Git,JavaScript,Swift,Kotlin,React Native"
49,Java Engineer,Java Engineer,EY Panamá,Computrabajo,2026-05-26,1600.0,3100.0,3,Backend,Gran oportunidad en Ciudad de Panamá. EY Panamá busca Java Engineer con al menos 3 años de experiencia.,1,"SQL,PostgreSQL,Docker,Spring Boot"
50,BI Engineer,BI Engineer,Telered,Computrabajo,2026-05-29,2200.0,2700.0,1,Data & Analytics,"Buscamos un BI Engineer para nuestro equipo de tecnología en Telered, Panamá.",1,"PostgreSQL,Power BI"
51,React Developer,React Developer,Multibank,Konzerta,2026-03-28,1800.0,2500.0,1,Frontend,Gran oportunidad en Ciudad de Panamá. Multibank busca React Developer con al menos 1 años de experiencia.,1,"Vue,Angular,Git,React,CSS"
52,Analista de Datos,Analista de Datos,Dell Technologies Panamá,Konzerta,2026-05-13,1500.0,3000.0,2,Data & Analytics,"En Dell Technologies Panamá requerimos Analista de Datos con experiencia en R, Python para liderar nuestra transformación digital.",1,"Python,R"
53,Administrador de Sistemas,Administrador de Sistemas,Global Bank,LinkedIn,2026-03-01,1100.0,1600.0,1,Soporte & IT,Gran oportunidad en Ciudad de Panamá. Global Bank busca Administrador de Sistemas con al menos 1 años de experiencia.,1,"Excel,Jira,Linux,Windows Server,Cisco"
54,UI Developer,UI Developer,GBM Panamá,LinkedIn,2026-02-23,1300.0,2100.0,3,Frontend,"Buscamos un UI Developer para nuestro equipo de tecnología en GBM Panamá, Panamá.",1,"Vue,JavaScript"
55,Product Owner,Product Owner,Banistmo,Konzerta,2026-05-02,2000.0,3000.0,3,Gestión & Agile,Gran oportunidad en Ciudad de Panamá. Banistmo busca Product Owner con al menos 3 años de experiencia.,1,"Excel,Agile,Jira"
56,Android Developer,Android Developer,Global Bank,Computrabajo,2026-03-01,1500.0,2900.0,1,Mobile,"En Global Bank requerimos Android Developer con experiencia en React Native, Git, Flutter para liderar nuestra transformación digital.",1,"Git,Flutter,JavaScript,Kotlin,React Native"
57,Soporte Técnico IT,Soporte Técnico IT,Encuentra24 PA,LinkedIn,2025-12-25,1200.0,1600.0,3,Soporte & IT,"Buscamos un Soporte Técnico IT para nuestro equipo de tecnología en Encuentra24 PA, Panamá.",1,"Excel,Linux,Windows Server,Cisco"
58,Product Owner,Product Owner,GBM Panamá,LinkedIn,2026-03-04,2500.0,3700.0,1,Gestión & Agile,Gran oportunidad en Ciudad de Panamá. GBM Panamá busca Product Owner con al menos 1 años de experiencia.,1,"Excel,Agile,Scrum,Jira"
59,Python Developer,Python Developer,EY Panamá,LinkedIn,2026-04-23,1500.0,3100.0,3,Backend,"Buscamos un Python Developer para nuestro equipo de tecnología en EY Panamá, Panamá.",1,"Python,Git,C#"
60,React Developer,React Developer,Encuentra24 PA,Computrabajo,2026-05-07,1800.0,2400.0,3,Frontend,"Buscamos un React Developer para nuestro equipo de tecnología en Encuentra24 PA, Panamá.",1,"HTML,React,CSS"
61,Frontend Developer,Frontend Developer,KPMG Panamá,Konzerta,2026-06-15,1700.0,2300.0,2,Frontend,Gran oportunidad en Ciudad de Panamá. KPMG Panamá busca Frontend Developer con al menos 2 años de experiencia.,1,"HTML,TypeScript,JavaScript,React"
62,Ingeniero de Soporte,Ingeniero de Soporte,GBM Panamá,LinkedIn,2026-03-09,1100.0,1600.0,2,Soporte & IT,Gran oportunidad en Ciudad de Panamá. GBM Panamá busca Ingeniero de Soporte con al menos 2 años de experiencia.,1,"Excel,Jira,Linux,Windows Server,Cisco"
63,Fullstack Engineer,Fullstack Engineer,Multibank,Computrabajo,2026-03-21,1900.0,2900.0,3,Fullstack,Gran oportunidad en Ciudad de Panamá. Multibank busca Fullstack Engineer con al menos 3 años de experiencia.,1,"SQL,Python,Node.js"
64,Ingeniero de Soporte,Ingeniero de Soporte,GBM Panamá,Konzerta,2026-06-06,900.0,1600.0,2,Soporte & IT,"En GBM Panamá requerimos Ingeniero de Soporte con experiencia en Linux, Jira, Windows Server para liderar nuestra transformación digital.",1,"Excel,Jira,Linux,Windows Server,Cisco"
65,Product Owner,Product Owner,Multibank,Konzerta,2026-05-14,2300.0,3800.0,1,Gestión & Agile,"En Multibank requerimos Product Owner con experiencia en Jira, Scrum para liderar nuestra transformación digital.",1,"Scrum,Jira"
66,Ingeniero de Soporte,Ingeniero de Soporte,EY Panamá,Konzerta,2026-05-10,1000.0,1500.0,1,Soporte & IT,"Buscamos un Ingeniero de Soporte para nuestro equipo de tecnología en EY Panamá, Panamá.",1,"Excel,Jira,Linux,Windows Server,Cisco"
67,Python Developer,Python Developer,Banistmo,LinkedIn,2026-02-22,2100.0,2700.0,2,Backend,"Buscamos un Python Developer para nuestro equipo de tecnología en Banistmo, Panamá.",1,"SQL,PostgreSQL,Node.js,Spring Boot,C#"
68,Frontend Developer,Frontend Developer,Autoridad del Canal de Panamá (ACP),LinkedIn,2026-01-21,1200.0,1600.0,2,Frontend,"Buscamos un Frontend Developer para nuestro equipo de tecnología en Autoridad del Canal de Panamá (ACP), Panamá.",1,"HTML,TypeScript,Git,JavaScript,React"
69,Administrador de Sistemas,Administrador de Sistemas,Global Bank,Konzerta,2026-05-22,1000.0,1400.0,2,Soporte & IT,"Buscamos un Administrador de Sistemas para nuestro equipo de tecnología en Global Bank, Panamá.",1,"Excel,Jira,Linux,Cisco"
70,Ingeniero de Soporte,Ingeniero de Soporte,Encuentra24 PA,Konzerta,2026-02-20,1100.0,1400.0,3,Soporte & IT,"Buscamos un Ingeniero de Soporte para nuestro equipo de tecnología en Encuentra24 PA, Panamá.",1,"Excel,Jira,Linux,Windows Server,Cisco"
71,Product Owner,Product Owner,EY Panamá,LinkedIn,2026-01-21,2100.0,3900.0,1,Gestión & Agile,"En EY Panamá requerimos Product Owner con experiencia en Jira, Agile para liderar nuestra transformación digital.",1,"Agile,Jira"
72,Data Analyst,Data Analyst,Sonda Panamá,Konzerta,2026-01-30,1500.0,3500.0,1,Data & Analytics,"Buscamos un Data Analyst para nuestro equipo de tecnología en Sonda Panamá, Panamá.",1,"Excel,Spark,R,Power BI"
73,IT Project Manager,IT Project Manager,Copa Airlines,Computrabajo,2026-03-18,1900.0,2900.0,2,Gestión & Agile,"En Copa Airlines requerimos IT Project Manager con experiencia en Jira, Agile, Excel para liderar nuestra transformación digital.",1,"Excel,Agile,Scrum,Jira"
74,Fullstack Engineer,Fullstack Engineer,Multibank,LinkedIn,2026-05-08,1700.0,3500.0,2,Fullstack,"En Multibank requerimos Fullstack Engineer con experiencia en Python, SQL, Docker para liderar nuestra transformación digital.",1,"SQL,Python,Node.js,AWS,Docker"
75,Data Scientist,Data Scientist,Encuentra24 PA,Konzerta,2026-02-11,1600.0,2500.0,3,Data & Analytics,"En Encuentra24 PA requerimos Data Scientist con experiencia en Python, SQL, Power BI para liderar nuestra transformación digital.",1,"Excel,SQL,PostgreSQL,Python,Power BI"
76,UI Developer,UI Developer,Autoridad del Canal de Panamá (ACP),Computrabajo,2026-05-21,1700.0,2300.0,3,Frontend,"En Autoridad del Canal de Panamá (ACP) requerimos UI Developer con experiencia en TypeScript, React, Git para liderar nuestra transformación digital.",1,"TypeScript,Angular,Git,React"
77,IT Project Manager,IT Project Manager,Banco General,Konzerta,2026-05-12,2200.0,2500.0,3,Gestión & Agile,"Buscamos un IT Project Manager para nuestro equipo de tecnología en Banco General, Panamá.",1,"Excel,Agile"
78,Administrador Cloud,Administrador Cloud,Encuentra24 PA,LinkedIn,2026-05-23,2000.0,3000.0,1,DevOps & Cloud,Gran oportunidad en Ciudad de Panamá. Encuentra24 PA busca Administrador Cloud con al menos 1 años de experiencia.,1,"Python,Git,Azure,Terraform"
79,Administrador Cloud,Administrador Cloud,Encuentra24 PA,LinkedIn,2026-03-17,2000.0,2800.0,2,DevOps & Cloud,"Buscamos un Administrador Cloud para nuestro equipo de tecnología en Encuentra24 PA, Panamá.",1,"Python,Linux,Terraform"
80,Product Owner,Product Owner,Encuentra24 PA,LinkedIn,2026-02-25,1800.0,2500.0,1,Gestión & Agile,"Buscamos un Product Owner para nuestro equipo de tecnología en Encuentra24 PA, Panamá.",1,"Excel,Agile,Scrum,Jira"
81,Backend Developer,Backend Developer,Cable & Wireless,LinkedIn,2026-04-28,1700.0,2800.0,3,Backend,"Buscamos un Backend Developer para nuestro equipo de tecnología en Cable & Wireless, Panamá.",1,"SQL,Git,Docker"
82,Soporte Técnico IT,Soporte Técnico IT,Global Bank,Computrabajo,2026-03-21,1100.0,1500.0,2,Soporte & IT,"Buscamos un Soporte Técnico IT para nuestro equipo de tecnología en Global Bank, Panamá.",1,"Jira,Linux,Cisco"
83,Scrum Master,Scrum Master,Global Bank,Konzerta,2025-12-21,2700.0,3500.0,7,Gestión & Agile,Gran oportunidad en Ciudad de Panamá. Global Bank busca Scrum Master con al menos 7 años de experiencia.,1,"Excel,Agile,Scrum,Jira"
84,Ingeniero de Soporte,Ingeniero de Soporte,Encuentra24 PA,Konzerta,2026-02-18,1100.0,1700.0,1,Soporte & IT,"Buscamos un Ingeniero de Soporte para nuestro equipo de tecnología en Encuentra24 PA, Panamá.",1,"Jira,Linux,Windows Server,Cisco"
85,iOS App Developer,iOS App Developer,Telered,Computrabajo,2025-12-24,1400.0,2200.0,1,Mobile,"Buscamos un iOS App Developer para nuestro equipo de tecnología en Telered, Panamá.",1,"Git,Swift,React Native"
86,UI Developer,UI Developer,Sonda Panamá,Konzerta,2026-01-16,1400.0,2300.0,1,Frontend,"En Sonda Panamá requerimos UI Developer con experiencia en CSS, TypeScript, Angular para liderar nuestra transformación digital.",1,"TypeScript,Angular,CSS"
87,Product Owner,Product Owner,Dell Technologies Panamá,LinkedIn,2025-12-19,2200.0,3700.0,2,Gestión & Agile,"En Dell Technologies Panamá requerimos Product Owner con experiencia en Agile, Scrum para liderar nuestra transformación digital.",1,"Agile,Scrum"
88,Android Developer,Android Developer,Telered,Konzerta,2026-04-20,1400.0,1700.0,1,Mobile,"Buscamos un Android Developer para nuestro equipo de tecnología en Telered, Panamá.",1,"Git,Flutter,JavaScript,Swift,Kotlin"
89,Soporte Técnico IT,Soporte Técnico IT,Autoridad del Canal de Panamá (ACP),LinkedIn,2025-12-31,1100.0,1400.0,2,Soporte & IT,"En Autoridad del Canal de Panamá (ACP) requerimos Soporte Técnico IT con experiencia en Excel, Cisco, Windows Server para liderar nuestra transformación digital.",1,"Excel,Windows Server,Cisco"
90,IT Project Manager,IT Project Manager,Copa Airlines,LinkedIn,2026-01-12,2400.0,3900.0,1,Gestión & Agile,"En Copa Airlines requerimos IT Project Manager con experiencia en Jira, Excel, Scrum para liderar nuestra transformación digital.",1,"Excel,Agile,Scrum,Jira"
91,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Banco General,Konzerta,2026-03-18,2200.0,2800.0,3,DevOps & Cloud,Gran oportunidad en Ciudad de Panamá. Banco General busca Cloud Infrastructure Specialist con al menos 3 años de experiencia.,1,"Git,AWS,Docker,Azure,Terraform"
92,React Developer,React Developer,GBM Panamá,Computrabajo,2026-01-28,1300.0,2600.0,3,Frontend,Gran oportunidad en Ciudad de Panamá. GBM Panamá busca React Developer con al menos 3 años de experiencia.,1,"HTML,Vue"
93,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Banistmo,Konzerta,2026-04-28,1900.0,3900.0,1,Fullstack,"En Banistmo requerimos Desarrollador Web Fullstack con experiencia en React, Git, Node.js para liderar nuestra transformación digital.",1,"Node.js,Git,React"
94,.NET Consultant,.NET Consultant,Banco General,Konzerta,2026-04-07,2100.0,3200.0,1,Backend,"Buscamos un .NET Consultant para nuestro equipo de tecnología en Banco General, Panamá.",1,"SQL,Python,Docker,Spring Boot,.NET"
95,iOS App Developer,iOS App Developer,Global Bank,Konzerta,2026-04-08,1400.0,2200.0,1,Mobile,"Buscamos un iOS App Developer para nuestro equipo de tecnología en Global Bank, Panamá.",1,"Git,JavaScript,Swift,Kotlin"
96,Java Engineer,Java Engineer,Multibank,LinkedIn,2026-02-05,2000.0,2300.0,2,Backend,"En Multibank requerimos Java Engineer con experiencia en SQL, C#, Git para liderar nuestra transformación digital.",1,"SQL,Node.js,Git,C#"
97,Ingeniero de Soporte,Ingeniero de Soporte,Banco General,LinkedIn,2026-05-30,1200.0,1700.0,3,Soporte & IT,"Buscamos un Ingeniero de Soporte para nuestro equipo de tecnología en Banco General, Panamá.",1,"Jira,Linux,Windows Server"
98,Backend Developer,Backend Developer,PwC Panamá,LinkedIn,2026-02-08,1900.0,3000.0,1,Backend,"Buscamos un Backend Developer para nuestro equipo de tecnología en PwC Panamá, Panamá.",1,"PostgreSQL,Python,Docker,.NET,C#"
99,Python Developer,Python Developer,Multibank,Computrabajo,2026-02-22,1500.0,2900.0,3,Backend,"Buscamos un Python Developer para nuestro equipo de tecnología en Multibank, Panamá.",1,"SQL,Python,Node.js,Java,.NET"
100,Product Owner,Product Owner,PwC Panamá,Konzerta,2026-05-11,1800.0,3200.0,3,Gestión & Agile,"Buscamos un Product Owner para nuestro equipo de tecnología en PwC Panamá, Panamá.",1,"Excel,Agile"
101,Backend Developer,Backend Developer,Dell Technologies Panamá,LinkedIn,2026-02-16,1600.0,3300.0,2,Backend,Gran oportunidad en Ciudad de Panamá. Dell Technologies Panamá busca Backend Developer con al menos 2 años de experiencia.,1,"SQL,Python,Git,C#"
102,BI Engineer,BI Engineer,PwC Panamá,LinkedIn,2025-12-28,1900.0,2400.0,3,Data & Analytics,"En PwC Panamá requerimos BI Engineer con experiencia en PostgreSQL, Tableau, Power BI para liderar nuestra transformación digital.",1,"PostgreSQL,Tableau,Power BI"
103,Android Developer,Android Developer,Global Bank,Computrabajo,2026-03-21,1400.0,2100.0,1,Mobile,Gran oportunidad en Ciudad de Panamá. Global Bank busca Android Developer con al menos 1 años de experiencia.,1,"Git,JavaScript,Swift,Kotlin"
